歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
3317572470,What a Day,蔡徐坤,2025-11-23 16:38:18,141,84,32,25,0.5957,0.227,0.1773,好听，徐坤，一种，感觉，百老汇,8040,270.0,有一种迪士尼，有一种百老汇，有一种音乐剧，总之有一种经济上行黄金时期的好听！...,8040
2757718427,CHANEL,Tyla,2025-11-23 16:38:28,40,25,6,9,0.625,0.15,0.225,香奈儿，me，put，in，喜欢,3796,345.8,谁懂一下嗯嗯那几声。又媚又可爱的好喜欢...,3796
2758217892,时差 (Live),魏翔,2025-11-23 16:38:39,49,25,10,14,0.5102,0.2041,0.2857,魏翔，老师，感觉，真的，手动,5726,420.3,我走啦！拜拜👋🏻...,5726
3315507206,光 (live),艾热 AIR/Ziba,2025-11-23 16:38:49,40,26,5,9,0.65,0.125,0.225,自己，ziba，手动，狗头，师傅,454,41.4,抖音刷到了立马就来收藏了[举手]...,454
3315240687,千年泪,刘宇,2025-11-23 16:39:02,67,44,18,5,0.6567,0.2687,0.0746,刘宇，好听，国风，喜欢，千年泪,988,43.3,比千年更痛的是千年泪...,988
3311876765,虚构,h3R3,2025-11-23 16:39:33,208,119,51,38,0.5721,0.2452,0.1827,好听，喜欢，自己，认真，背单词,2434,58.1,这次真下班了！...,2434
3319814367,晴天四季,Vansdaddy,2025-11-23 16:39:43,40,31,4,5,0.775,0.1,0.125,晴天，四季，街头，暴雨，好听,942,77.0,一切好就好。...,942
3320331503,像晴天像雨天 (live),汪苏泷,2025-11-23 16:39:53,40,31,3,6,0.775,0.075,0.15,喜欢，汪苏，哭哭，晴天，改编,331,21.8,谁懂《像晴天像雨天》➕《忽而今夏》➕《耿》➕《眼泪落下之前》的含金量啊[哭哭][哭哭][哭哭]...,331
3319813693,健康,Vansdaddy/艾志恒Asen,2025-11-23 16:40:04,40,23,6,11,0.575,0.15,0.275,Asen，真的，喜欢，听歌，说唱,992,96.0,豪华绚烂...,992
3315267578,没曾想 (我们还是一步步走到了今天),GoldenOcean,2025-11-23 16:40:14,32,12,8,12,0.375,0.25,0.375,希望，故事，分开，先生，小姐,158,13.9,必爆的好吧，一周后抖音看...,158
2758218600,顽疾 (Live),薛之谦,2025-11-23 16:41:21,528,325,79,124,0.6155,0.1496,0.2348,好听，世界，顽疾，和平，还行,3819,31.0,不懂没关系 我并不需要雷同...,3819
3317989661,象人 (Live),张弛,2025-11-23 16:41:34,69,40,17,12,0.5797,0.2464,0.1739,张弛，好听，喽哈，喜欢，版本,1586,107.1,是那个星光大道亚军张弛吗！是一年一度喜剧大赛冠军逐梦亚军的张弛吗！是唱歌演戏跳舞京剧曲剧乐器样样俱佳...,1586
3319814438,楚门的世界,Vansdaddy/mac ova seas,2025-11-23 16:41:45,40,28,4,8,0.7,0.1,0.2,vd，mac，一样，感觉，合体,618,50.0,撕破外表。...,618
3320331526,一直很安静 (live),颜人中,2025-11-23 16:41:54,33,19,7,7,0.5758,0.2121,0.2121,一直，安静，颜人，好听，幸福,217,12.5,十一月听《一直很安静》的幸福一辈子...,217
2746857577,暮色森林,欧阳娜娜,2025-11-23 16:42:04,40,30,1,9,0.75,0.025,0.225,娜娜，好听，音乐，不是，喜欢,425,28.2,“挥霍是我的天赋，不需要谁来救赎。”这句话好像她在和所有对她说“好好拉琴好好唱歌，不要演戏”的人说。...,425
3313977596,爱情讯息 (LIVE),郭静,2025-11-23 16:42:13,38,22,7,9,0.5789,0.1842,0.2368,爱情，讯息，这么，因为，生病,175,17.5,08年的爱情讯息是谁这么有品在听啊[笑了][笑了][笑了]...,175
3319813281,四月物语,Vansdaddy/李文,2025-11-23 16:42:25,40,22,8,10,0.55,0.2,0.25,李文，感觉，vd，一样，以为,878,59.6,我记得我们以前所有人都在。...,878
3319811714,都市醉汉,Vansdaddy,2025-11-23 16:42:34,40,17,14,9,0.425,0.35,0.225,感谢，专辑，vd，音乐，intro,731,45.7,一个醉汉的一晚上。...,731
3319732001,Sacrifice (Anyma Remix),英雄联盟/Anyma/G.E.M.邓紫棋,2025-11-23 16:42:44,40,25,9,6,0.625,0.225,0.15,私信，Anyma，邓紫棋，好听，赛博,98,14.4,低调点，大家都是邓紫棋私信来的吧...,98
3312502820,爱错 (feat. 单依纯)(Live),王力宏/单依纯,2025-11-23 16:42:53,40,27,7,6,0.675,0.175,0.15,幸福，单依纯，尸体，区别，一颗,3805,406.8,“如果世界太危险，只有音乐最安全” “只有音乐和真心最重要”...,3805
3320401890,爱丽丝卿 (Live),周深,2025-11-23 16:43:03,40,31,7,2,0.775,0.175,0.05,周深，心动，喜欢，爱丽丝，特别,406,72.6,很怪的歌，很好的展示了小深现在的棱角和独特的气质，无法被定义，无法被束缚，独立于画框和世俗之外，我唯...,406
