s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12415,亲爱的我希望你天天开心,2021-03-14,194849,1116,24,8,241,伤感 思念 R&B/Soul
12416,失恋emo歌单「失眠」「心碎」「痛苦」,2021-07-16,1730339,1322,11,12,163,华语 流行 伤感
12417,孤独已成习惯 就不奢求别人陪伴.,2025-06-04,87547,936,18,30,98,流行 孤独 伤感
12418,你 最特别 最会暧昧 最会逃避,2025-03-25,408108,3632,100,27,48,伤感 流行 网络歌曲
12419,“红尘客栈风似刀，骤雨落宿命敲”,2024-05-30,35030,283,4,2,222,伤感 孤独 思念
12420,记忆闪帧接下来是没有你的冬,2023-02-01,21172240,16023,393,268,143,伤感 流行 华语
12421,孤独丨感触|隐秘心境,2025-06-20,230693,5979,42,15,32,伤感 轻音乐 夜晚
12422,谎言和我们 都到此为止,2023-11-03,21263,71,3,3,109,夜晚 伤感 清晨
12423,如果可以，我不只是想回到我们的曾经,2023-05-06,228440,1754,42,28,237,夜晚 孤独 伤感
12424,一张照片 半句再见 尘封的纪念,2025-07-30,89819,301,18,5,145,夜晚 伤感 流行
12425,旋律一起 命运骤然/苦涩/悲剧故事结局,2025-06-20,230658,3016,15,11,52,伤感 思念 孤独
12426,忧伤如同一片无尽的深海,2025-06-25,361455,4427,4,43,97,流行 网络歌曲 伤感
12427,伤感流行：心照不宣的各自安好,2022-11-04,70451,139,3,3,168,伤感 nan nan
12428,彼岸太遥远 你也不在身边,2025-06-25,1475969,9540,4,10,192,华语 流行 伤感
12429,《伤感雷达》你的专属宝藏音乐,2025-05-04,226693,1372,42,8,71,夜晚 伤感 孤独
12430,成年人的世界从来就没有退路,2024-04-12,1505333,4786,35,13,43,华语 怀旧 伤感
12431,纯 愛 战 曲 | 前奏一响 遗憾退场,2023-08-07,4271182,38916,422,857,137,华语 流行 伤感
12432,挥别过往的终点站 是放下,2025-06-25,268366,1115,7,8,97,伤感 清新 影视原声
