s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
3129,时差青年｜每个懂事的人都是宝藏,2020-12-04,5665013,34106,922,166,575,流行 华语 说唱
3130,Jannik｜简单可以，简陋永远不行,2021-01-23,1713082,33830,436,155,33,轻音乐 电子 流行
3131,雾起爱意消失,2021-04-15,14684885,59363,1037,372,319,华语 流行 治愈
3132,华语民谣丨故事和酒，未来与她,2021-04-28,1744238,48462,5830,573,30,华语 流行 网络歌曲
3133,谁说夜店才有party⚡️,2021-02-19,1525007,19611,32,7,43,华语 流行 说唱
3134,那些好听到爆炸的说唱,2020-11-27,8589559,40414,690,272,520,华语 流行 说唱
3135,华语经典顶流作品合集｜首首经典无损SQ,2021-04-28,2451006,38256,1696,203,31,华语 流行 网络歌曲
3136,忠于自己不负心野各自努力顶峰相见,2020-12-31,3779994,18903,393,148,185,华语 流行 治愈
3137,“爱意东升西落”,2020-12-05,8621030,43988,1196,385,449,华语 流行 伤感
3138,我的青春里，那些幸福都有关于你,2020-12-24,2321061,9482,189,189,67,华语 流行 怀旧
3139,光阴电台｜聆听尘封在记忆中的那些金曲,2021-01-04,2863840,15585,245,53,60,华语 粤语 怀旧
3140,这些歌要听多少遍才能释怀（周更）,2021-03-20,9187970,44009,1409,136,345,流行 网络歌曲 说唱
3141,【毕业季】那些年、那些人、那些歌,2021-04-28,822404,11379,63502,439,28,校园 治愈 感动
3142,是不是把所有委屈咽下，才显得懂事,2021-01-12,32869154,160000,3641,2093,105,华语 流行 伤感
3143,『治疗基地』夜晚的宁静带来温馨的祝福,2021-04-19,5974966,32239,726,175,370,华语 流行 治愈
3144,颜人中｜住在你家隔壁的男孩,2021-02-03,4653645,42686,628,40,80,华语 流行 nan
3145,———,2021-04-26,162656,1921,46,2,493,流行 华语 nan
3146,地铁随身听 | 心跳加速的瞬间,2021-04-28,1418700,53205,2227,653,32,流行 放松 nan
3147,我和你有一个共同点，就是都很喜欢你,2021-04-02,1503174,47672,2177,8,104,流行 说唱 浪漫
3148,世间最甜的就是 双向的奔赴,2021-04-07,9730540,41941,871,397,103,华语 流行 浪漫
3149,爆款收割机！好听到单曲循环的热歌,2021-01-12,7071692,23333,596,48,366,华语 流行 快乐
3150,韩剧《某天灭亡走进我家门》OST&BGM,2021-03-23,614987,3663,33,89,49,韩语 影视原声 浪漫
3151,一定是特别的缘分，今生成为一家人,2021-02-26,2508716,10821,165,152,62,华语 安静 感动
3152,天上的鱼/鱼你相医 泰剧原声,2021-04-13,95636,915,2,27,12,影视原声 小语种 流行
3153,「恋爱告急」在海边吹柠檬味的风,2021-01-28,10261489,15887,691,116,32,华语 流行 旅行
3154,生活「慢节奏」，慵懒惬意的假期时光,2021-03-11,2118435,9231,149,49,52,华语 放松 Bossa Nova
3155,百首治愈 | 大树会拥抱每个抬头的人,2021-04-18,8545641,30079,1155,278,401,华语 流行 治愈
3156,520预约提醒♡及时查看您的恋爱排队进程,2021-05-19,2162917,11626,312,417,30,华语 流行 浪漫
3157,希望以后和你的生活不止三餐四季,2020-10-21,10888844,18752,830,125,172,华语 流行 nan
3158,暗恋似盲盒，打开之前永远是谜,2021-03-25,3865785,17213,303,256,181,华语 流行 思念
3159,韩剧《某天灭亡走进我家门》OST&BGM,2021-03-23,614987,3663,33,89,49,韩语 影视原声 浪漫
3160,他们有许多关于爱的道理，而我有你,2021-04-10,2673597,12897,208,126,51,华语 流行 浪漫
3161,2025年最流行MVP宝藏歌（日推）,2020-12-15,8350754,40791,559,79,30,华语 流行 榜单
3162,2024网易云热歌精选,2021-05-12,21231730,52835,1219,525,327,华语 流行 网络歌曲
3163,住在梦里的人，以后也要住进心里,2021-03-29,2548362,9931,220,85,97,华语 流行 浪漫
3164,日落尤其温柔，人间皆是浪漫,2021-04-14,6862639,26195,557,98,53,华语 流行 浪漫
3165,2023抖音热歌精选（持更）,2021-03-24,5877664,21705,298,79,469,华语 流行 nan
3166,把喜欢藏进波子汽水泡泡里♡﻿咕咚喝掉！,2021-04-27,5344890,23147,1774,84,45,华语 清新 浪漫
3167,2024云村最火流行歌曲一键推荐(持更),2021-04-24,10869803,37643,853,136,351,华语 流行 榜单
3168,十七岁的夏天，仿佛永远也不会结束,2021-02-10,4915999,21554,420,364,63,华语 流行 治愈
3169,总有人，山高路远 为你而来,2021-04-08,4944196,22076,397,215,50,华语 流行 浪漫
3170,我要你的光芒，来点亮我内心的诗意,2021-04-29,15996149,35506,1495,227,562,华语 流行 浪漫
3171,200首全网爆火超好听不记得歌名的歌,2021-04-21,5073701,22182,536,134,186,华语 流行 网络歌曲
3172,希望戾气都悄悄溜走 余下的都是温柔,2021-04-25,14493746,31920,1080,210,60,流行 华语 nan
3173,韩国热门摇摆：动感旋律，嗨翻全场,2021-04-20,176625,1318,175,2,311,韩语 电子 舞曲
3174,如果不开心 就换个地方看人间烟火,2021-03-08,3064403,10617,206,330,78,华语 流行 治愈
3175,慢慢体会到成年人孤独的感觉,2021-04-17,12612837,46879,1013,378,123,华语 流行 孤独
3176,听歌发呆：也许有种孤独叫放空吧,2021-01-29,12205532,48348,1102,253,132,华语 流行 安静
3177,「精选民谣」2025年必听歌曲（持续更新）,2021-04-28,1395131,41133,1305,477,38,民谣 治愈 nan
3178,频繁的聊天，会让人产生恋爱的错觉,2021-04-02,4693925,21376,569,589,48,华语 流行 思念
3179,Rap / 让你的神经安全着陆,2021-03-15,1408326,5437,320,30,203,说唱 放松 nan
3180,在生活的某个瞬间为音乐停留,2021-05-02,11155668,42060,749,285,397,华语 流行 网络歌曲
3181,怀旧丨经得住时间洗礼的经典老歌,2021-03-03,3266048,18849,161,39,104,华语 流行 怀旧
3182,请把烦恼放一放，一起与治愈的歌相伴,2021-03-31,3766729,12416,240,87,120,华语 流行 治愈
3183,我们可以成为彼此的夏日限定浪漫吗？,2021-05-10,5705065,22490,807,198,158,华语 流行 浪漫
3184,在冷静与热情之间以适合自己的温度存在,2021-05-15,1892912,5109,156,52,210,华语 流行 治愈
3185,致未来 | 我们都在时光里跌跌撞撞的成长,2021-04-24,1251120,3438,93,59,25,华语 流行 治愈
3186,当你为梦想而倒下时，请你一定要相信自己！,2021-04-25,2460327,10330,175,146,40,华语 流行 治愈
3187,关于青春的歌，只有我跟你,2021-03-30,1396760,2627,79,11,57,华语 流行 校园
3188,真诚一点慢慢来 都会好的你又不差,2021-04-18,1616390,4441,112,75,416,华语 治愈 nan
3189,你一定要在自己热爱的世界里闪闪发亮啊,2021-01-11,2662138,14440,254,136,59,华语 流行 治愈
3190,硬曲‖Emo/厌世/健身/跑步/开车/DJ/游戏,2021-04-13,4052759,28733,373,160,160,欧美 流行 酒吧
3191,忙碌的生活其实也是一种乐趣,2021-03-09,2954537,12237,248,220,45,华语 流行 放松
3192,2021流行热歌盘点 持续更新,2020-12-26,1211247,5212,81,85,391,流行 华语 网络歌曲
3193,精选｜2023适合单曲循环的歌曲合集,2021-04-25,1451923,5429,105,37,807,浪漫 流行 华语
3194,音乐是我的灵魂伴侣，音乐是我的生命之舟,2021-04-28,1142021,36393,510,658,35,华语 民谣 nan
3195,2021年Billboard公告牌音乐奖提名,2021-04-30,1318901,7069,150,132,29,欧美 榜单 nan
3196,《暗恋》：一封自写自读的情书,2021-03-24,959778,4826,82,152,23,华语 流行 思念
3197,晚风心里吹（刘惜君 王赫野）,2021-03-03,1708970,1524,10,20,24,韩语 欧美 华语
3198,2021网易云热歌,2020-12-29,1836101,6271,147,107,265,华语 流行 榜单
3199,网易云2024超好听热门流行歌曲,2021-05-18,1794039,6461,260,250,198,华语 流行 浪漫
3200,不开心的时候，难过的时候，和你说说就好了,2021-02-23,2877282,13384,303,155,336,流行 伤感 孤独
3201,粵声乐色｜经典怀旧,2021-02-09,2855427,11347,259,37,63,粤语 流行 经典
3202,最火民谣排行，不听后悔一辈子。,2021-01-14,1599434,10120,140,31,85,华语 民谣 治愈
3203,意难平歌单：后来我还是放不下你,2021-04-13,1050552,5130,131,208,47,华语 说唱 夜晚
3204,华语流行100首，一人一首代表作,2021-04-28,1385973,54146,6578,662,22,流行 网络歌曲 nan
3205,A妹宣布结婚｜两个人都说出了“我愿意”,2021-05-18,707648,2603,99,178,20,欧美 流行 浪漫
3206,就怕rapper说情话 撒时候有甜甜的恋爱,2021-02-23,1413138,8395,144,45,175,说唱 浪漫 放松
3207,【K-POP】微醺怡情•高级R&B 惬享人间闲暇,2021-01-26,1843247,19251,422,204,233,韩语 流行 R&B/Soul
3208,字字击中软肋，炸出朵朵温柔的花,2021-04-22,767863,2150,48,17,46,华语 夜晚 治愈
3209,别再难过啦 随涓涓细流般的声线睡去吧,2021-04-18,661843,5036,151,146,66,欧美 R&B/Soul 午休
3210,夏天丨海边的气泡和风里的盐粒,2021-05-12,5353716,40659,688,198,29,华语 流行 旅行
3211,『华语』那些让人欲罢不能的单曲循环好歌,2021-04-28,1065606,49958,4150,622,37,华语 流行 网络歌曲
3212,R&B旋律or超前new wave beat 刺激你的flow,2021-03-14,1197046,8942,32,10,459,说唱 R&B/Soul nan
3213,总有一天 你会遇到如彩虹般绚丽的人,2021-04-08,669634,2497,93,30,204,华语 旅行 浪漫
3214,梦想和现实之间的那段差距，叫做行动,2021-04-13,967472,5538,135,200,49,华语 流行 治愈
3215,刷题/深夜/静谧｜青春年少，奋斗的最好年华,2021-01-02,1169367,12263,208,148,78,轻音乐 安静 学习
3216,曼波~（哈基米活全家音乐）,2021-04-28,1303889,48453,1584,362,30,流行 网络歌曲 nan
3217,游戏战歌丨『野王必备』,2021-03-20,4768238,44728,783,625,294,游戏 流行 欧美
3218,走在路上我们都在听什么 | 硬地新歌Vol.14,2021-04-22,610288,2792,43,28,43,摇滚 说唱 另类/独立
3219,细腻听感丨跃入斑斓的节奏布鲁斯潜游,2021-03-08,1087239,10932,263,57,64,欧美 R&B/Soul 放松
3220,浪漫宿醉深蓝海底，耳边低呢轻轻爱意,2021-02-27,2971907,15580,336,81,251,华语 驾车 酒吧
3221,【纯音】『钢琴提琴 · 完美邂逅』,2021-02-24,692364,7626,90,31,53,轻音乐 器乐 钢琴
3222,运动 有氧 健身BGM｜一半自律 一半热爱生活,2021-03-05,655371,6034,86,29,31,欧美 运动 放松
3223,春日遐思，品尝午后的酸甜果酒,2021-05-02,672758,6536,161,68,49,欧美 浪漫 清新
3224,2022全网最火超好听热门歌曲|持续更新,2021-03-30,549199,1093,25,8,55,华语 流行 治愈
3225,比伯 萌德 戳爷 碧梨 断眉 黄老板 六公主,2020-11-27,9465092,87174,1729,242,62,欧美 流行 nan
3226,我把春天打包给你，连同我炽热的心一起,2021-04-14,559967,1689,37,26,25,华语 说唱 流行
3227,还是会想你，还是会念你,2021-04-08,761168,3055,41,30,104,华语 流行 翻唱
3228,山海也有意难平,2020-12-26,3415259,18535,163,204,69,流行 网络歌曲 榜单
3229,夏日黄昏时刻 | 奔跑在蒸汽波的凉爽中,2021-04-09,679126,6410,125,52,26,欧美 后摇 流行
3230,快手热门歌曲 我 们 的 故 事 结 束 了,2021-05-07,548476,2450,137,13,53,华语 流行 伤感
3231,在心动的春天 和你一起去看一场樱花,2021-03-20,461221,2638,64,18,29,欧美 流行 浪漫
3232,古风|一阙歌，唱不尽情丝万缕，柔肠千结。,2021-02-23,1540438,14939,211,41,65,华语 古风 孤独
3233,顾城百行热门✨发现宝藏2021流行歌,2021-02-10,1744190,6665,76,10,248,华语 流行 夜晚
3234,中国风｜超级好听的古风中国风歌曲,2021-03-31,673582,3449,19,4,400,华语 古风 经典
3235,剧集照进现实｜逃避虽然可耻但可以结婚,2021-05-19,490848,2967,136,322,35,日语 流行 浪漫
3236,用户1776936478的歌单,2020-12-29,626714,4660,99,60,117,欧美 性感 快乐
3237,月夜告白 ☪︎ 与你看那一抹温柔色罗曼蒂克,2021-03-13,494531,4195,89,37,31,欧美 电子 浪漫
3238,深夜emo歌单「心碎」「疲惫」「伤感」,2021-04-27,1205046,46480,812,543,45,华语 流行 治愈
3239,『神仙翻唱Cover系列』,2021-03-29,444064,1365,10,1,316,华语 流行 nan
3240,Cyber Pop° 城市浸在幻梦中,2021-03-30,836180,9508,189,98,122,另类/独立 夜晚 浪漫
3241,网络热歌 流行歌曲,2021-05-17,2225037,836,17,12,85,华语 流行 nan
3242,云村八周年！遇见你真好,2021-04-23,420989,1527,42,150,29,华语 流行 治愈
3243,夏日来点电音| 清凉一夏,2021-05-03,566423,3363,101,40,40,欧美 流行 电子
3244,初春心事厅 ✰ 将思绪放空装满阳光,2021-02-19,821090,7451,171,27,25,欧美 治愈 放松
3245,示爱 是爱 誓爱 逝爱,2021-05-10,2852310,34067,195,125,73,夜晚 伤感 流行
3246,韩//暖春 宛如奶糖泡燕麦的悸动,2021-02-01,532638,5079,60,53,87,韩语 R&B/Soul 治愈
3247,我们一直以来在找的安全感，究竟是什么？,2021-03-28,444152,1558,68,70,50,华语 流行 治愈
3248,『黑胶vip』钱都花了，听点好的,2021-04-28,1476370,37421,1306,216,34,华语 网络歌曲 流行
3249,Acoustic | 人生最美是清欢,2021-04-18,1119590,16065,312,61,45,欧美 流行 安静
3250,自信元气站 | 新一天的正能量补给,2021-03-05,2910433,20388,266,117,106,欧美 流行 兴奋
3251,0.7x/0.8x没想过赢只想好好被爱,2021-04-13,6559900,32743,649,616,475,翻唱 华语 流行
3252,司藤 电视剧原声带,2021-03-08,695640,6104,66,64,21,影视原声 nan nan
3253,欧美男嗓 | 萦绕心房的柔情与细腻,2021-01-27,900314,7917,192,47,34,欧美 流行 放松
3254,人生天地间，忽如远行客【百首古风精选】,2021-03-12,764134,8189,133,24,98,古风 华语 流行
3255,K-POP：来自充满性感魅力的女团歌曲,2021-02-25,976137,7017,78,31,24,韩语 流行 兴奋
3256,我字字皆你，你却句句非我,2021-04-25,3580779,18371,153,167,116,华语 流行 翻唱
3257,怪我天生太热血 把梦做成摇滚乐,2021-05-15,354348,1434,39,21,21,华语 摇滚 nan
3258,纯音疗愈丸丨平缓浮躁情绪的良药,2021-02-05,1576018,14621,391,124,341,流行 轻音乐 安静
3259,小田音乐社（实时更新）,2021-02-19,535977,7885,136,37,306,华语 nan nan
3260,一人一首|欧美嘻哈新生代,2021-05-23,562563,4403,112,46,127,说唱 欧美 nan
3261,欧美风|特立独行的氛围感,2021-02-03,998347,12034,215,104,46,欧美 流行 孤独
3262,王小帅/刘大壮/南方凯/,2021-01-30,1021291,6078,140,11,93,伤感 翻唱 华语
3263,少女的征途 是五彩斑斓的夏天,2021-03-27,691415,3226,79,35,70,华语 流行 浪漫
3264,前奏一响就会让人爱上的甜甜歌的你,2021-04-27,1159978,42393,906,166,153,华语 浪漫 流行
3265,你会等待还是离开.,2021-04-11,275392,1170,19,22,84,伤感 夜晚 nan
3266,治愈向•保持温柔 追逐星星 ,2021-05-15,339929,1319,27,5,35,华语 流行 治愈
3267,“超好听的翻唱cover精选”,2021-05-01,2143737,13674,300,72,166,流行 翻唱 网络歌曲
3268,克星（请别质疑克星）,2021-01-10,1201783,6305,91,220,375,欧美 游戏 治愈
3269,疯子＆傻子,2021-03-09,495565,8319,167,520,382,华语 欧美 流行
3270,民谣小酒馆：理想三旬 我记得 安河桥,2021-04-28,1234709,46678,6583,673,33,民谣 伤感 网络歌曲
3271,流行音乐的正确打开方式～,2021-04-25,356813,1672,17,9,195,华语 流行 伤感
3272,超好听的翻唱歌单,2021-05-05,3713781,9149,590,28,94,华语 流行 翻唱
3273,心之杂念｜每天演好一个情绪稳定的成年人,2021-03-10,298097,596,22,26,35,华语 流行 孤独
3274,领风绝不后退｜逐梦路上的能量补给,2021-05-20,10539270,44062,4563,221,31,工作 治愈 感动
3275,滚石杂志评选史上最佳摇滚专辑封面top50,2021-04-24,265663,2932,68,32,50,欧美 摇滚 榜单
3276,日出時讓戀愛終結，日落時讓愛浮現,2021-04-30,768943,2931,167,34,510,华语 流行 怀旧
3277,热爱105℃的你,2021-04-01,232216,3474,51,186,98,快乐 网络歌曲 流行
3278,欧美音乐｜开口跪系列，别具一格的音域美学,2021-03-01,536347,3724,67,29,75,欧美 旅行 放松
3279,电视剧《觉醒年代》配乐,2021-02-10,1004407,14317,287,219,72,华语 古典 伤感
3280,别样风情｜他们英文倾唱竟如此动听,2021-04-24,208952,806,20,14,33,华语 欧美 感动
3281,马超神威bgm,2020-12-17,339866,2012,15,26,13,游戏 nan nan
3282,《时光代理人》音乐集/刀子代理人,2021-04-25,1503710,33086,210,768,156,ACG 治愈 流行
3283,精选 | 欧美最佳女歌手合作曲,2021-04-17,710689,7590,126,60,125,欧美 流行 R&B/Soul
3284,安和桥｜前奏一响 谁又不遗憾,2021-04-28,1464104,39639,1866,445,34,民谣 华语 治愈
3285,『此生必听系列』日语女声,2021-02-24,245460,3010,76,62,199,日语 流行 放松
3286,あなたの膵臓を食べたい,2021-01-26,453012,6621,184,246,794,治愈 安静 日语
3287,追光的人（祝大家都能高考上岸）,2021-04-15,397586,3631,58,13,132,欧美 华语 流行
3288,华语金曲·舞曲辑 | 复古青年尬舞欢乐多,2021-03-24,447928,3134,113,25,58,华语 流行 兴奋
3289,复古狂潮 | 欢迎来到宇宙俱乐部,2021-04-27,436097,5976,117,31,22,欧美 电子 放松
3290,『民谣+摇滚』荼毒我的心灵，再治愈它,2021-04-28,1437967,42528,3625,198,31,流行 网络歌曲 nan
3291,•韩 [前奏杀] | 入耳刹那 循环无限,2021-02-05,651557,6412,57,109,39,韩语 放松 nan
3292,陈奕迅歌曲歌单,2021-01-29,1005264,6557,153,24,60,粤语 怀旧 夜晚
3293,日系‖春日就该五彩斑斓,2021-04-14,291886,3604,50,59,98,日语 清新 ACG
3294,【韩语】甜甜的歌单~听了想恋爱,2021-04-17,1550651,15534,186,49,245,韩语 浪漫 nan
3295,长歌行 电视剧原声带,2021-04-07,527657,1534,15,44,14,影视原声 华语 感动
3296,「喜欢未必合适，合适未必喜欢」,2021-05-09,1385108,6182,119,68,122,华语 流行 治愈
3297,从《我想要占据你》听|心语推歌墙,2021-04-27,10215380,34808,61748,467,765,浪漫 伤感 思念
3298,『蹦迪 车载 抖腿』车窗摇下，声音调到最大,2021-04-24,7142995,29612,864,74,192,欧美 电子 驾车
3299,『华语伤感』 到最后只是相识一场,2021-04-05,5183273,16184,797,109,107,华语 流行 伤感
3300,人间甜酒,2021-04-29,739761,5174,123,31,562,治愈 浪漫 00后
3301,18年的夏天 少年有梦·应不止于心动,2021-03-05,349333,2005,148,111,300,下午茶 治愈 放松
3302,秋山の奇妙歌单,2021-01-21,316846,3166,31,168,61,游戏 快乐 放松
3303,“唯有热爱能抵岁月漫长”,2021-04-28,1243546,42112,2818,577,31,流行 民谣 nan
3304,耳机其实也挺孤独的，他陪你听了那么多歌,2021-03-18,348929,1313,39,24,66,华语 孤独 nan
3305,华语青春 | 90后校园岁月的流行歌曲,2021-04-27,2606771,40408,625,229,74,治愈 感动 流行
3306,『韩』易中毒洗脑式旋律,2021-04-02,338791,2104,25,88,94,韩语 流行 放松
3307,日系 | 想要将这份爱意传达给你。,2021-03-03,1724595,32546,462,127,350,日语 浪漫 思念
3308,国产hiphop从这里开始,2021-02-11,284141,7174,2781,7,50,华语 说唱 夜晚
3309,很chill的R&B歌单 节奏布鲁斯 欧美,2021-02-17,16498826,180000,3814,563,933,欧美 R&B/Soul 放松
3310,『 似清风明月 伴明月长歌 』,2021-03-19,214929,1469,223,11,53,华语 古风 旅行
3311,热歌榜｜每日更新-两难,2021-05-01,734020,6000,187,20,101,流行 榜单 华语
3312,Free Beat高质量国内免费伴奏,2021-03-08,287009,5308,1760,5,540,说唱 流行 nan
3313,民谣&流行，你想要的这里都有,2021-04-02,184408,2403,15,7,42,民谣 流行 nan
3314,日出时让恋爱终结,2021-04-06,365499,2663,101,44,410,夜晚 流行 nan
3315,接受自己的普通，然后去拼尽全力的与众不同,2021-03-03,159355,469,29,13,40,华语 流行 治愈
3316,生活驿站｜留下你回忆记录的故事,2021-04-14,146129,655,28,28,20,欧美 治愈 安静
3317,传奇乐队丨平克弗洛伊德30首最经典歌曲,2021-05-09,251956,3212,71,27,30,欧美 摇滚 nan
3318,华语经典 | 那些属于我们青春的一首歌曲,2021-04-28,1408931,35709,475,262,31,华语 民谣 治愈
3319,国风系｜沐浴雨后温暖的阳光,2021-03-07,534037,5731,181,30,96,流行 治愈 古风
3320,即刻律动 • 节奏当道 | R&B/Trap/Hip-Hop*,2021-03-16,2365665,19698,529,62,3902,欧美 说唱 酒吧
3321,孤岛情书｜涌入梦境扉页的白昼相思,2021-02-20,469163,5730,206,66,71,欧美 夜晚 思念
3322,『好听的中文歌』全网最流行|超嗨热歌,2021-03-22,460629,1382,5,9,147,流行 孤独 民谣
3323,葵因/凯瑟喵/邹念慈/愚青/程璧,2021-03-14,261268,4198,99,145,300,华语 另类/独立 nan
3324,陪我一起看海吧,2021-04-25,184899,1608,132,9,79,华语 流行 伤感
3325,欧美简约派｜放松心情，简洁至极,2021-01-27,434963,4469,92,27,140,欧美 下午茶 清新
3326,慢节奏、蒸汽波｜活在梦里 享受浪漫,2021-02-26,1384051,21562,349,126,58,另类/独立 放松 下午茶
3327,1990年代动画歌曲精选,2021-03-22,567922,8325,83,53,101,日语 ACG nan
3328,「韩语经典」全网100%精选热门单曲,2021-04-27,1206235,45712,1206,437,24,韩语 流行 nan
3329,悲伤总是穿过快乐的间隙 四两拨千斤,2020-10-31,244489,2041,57,28,72,欧美 轻音乐 影视原声
3330,还是会想你 还是爱着你,2021-04-10,152895,365,7,15,57,流行 学习 运动
3331,"摇滚新歌到 | PTM, Waax领衔带来摇滚新歌",2021-04-06,6135997,9877,281,200,192,nan nan nan
3332,海默肖恩标准曲,2021-01-31,696136,7879,53,98,14,网络歌曲 摇滚 电子
3333,《永远的第一名 /第二名的逆袭》samyu,2021-01-28,208793,2492,36,91,28,影视原声 流行 nan
3334,Friday Night Funkin'同人及原曲,2021-02-15,290533,3761,18,85,70,电子 游戏 网络歌曲
3335,专属于你的热门歌单❤️,2021-03-26,640473,3244,27,117,199,华语 流行 欧美
3336,阿尔法脑波音乐 提高记忆力,2021-02-22,203459,2277,47,11,16,学习 治愈 安静
3337,韩语翻唱 | 高质量翻唱精选,2021-03-13,257072,2042,28,33,57,韩语 流行 翻唱
3338,古风歌曲&纯音乐 相濡以沫，不如相忘于江湖,2021-03-19,635622,13417,309,108,649,放松 古风 世界音乐
3339,人间太吵了 来我心里吧,2021-04-09,1285958,3439,61,35,61,流行 学习 工作
3340,『京剧老生』行腔灵动，韵味入魂,2021-01-23,338182,5976,75,32,32,民族 经典 nan
3341,Lofi hip-hop | 拯救心碎计划,2021-03-29,1157125,3540,62,23,76,轻音乐 夜晚 治愈
3342,古韵 | 既见君子 云胡不喜,2021-03-08,210527,2731,40,125,27,华语 古风 流行
3343,"「每日推荐」""耳朵怦然心动""热歌精选",2021-04-27,1247389,45410,968,341,77,电子 流行 金属
3344,良辰美景好时光 电视剧原声带,2021-04-11,208625,820,10,10,19,影视原声 华语 浪漫
3345,日系｜蜂蜜色半明媚少年,2021-05-14,677639,20930,213,197,56,日语 流行 治愈
3346,韩剧OST｜那些年追过的韩剧・热播篇,2021-04-07,677101,4959,55,29,118,韩语 流行 影视原声
3347,日系·元气大作战｜放弃无罪，摸鱼万岁,2021-02-09,260428,5914,93,42,30,日语 流行 校园
3348,喜 怒 哀 乐 是 你,2021-04-10,107186,192,1,3,54,流行 说唱 夜晚
3349,日系恋歌 | 好想一直和你在一起,2021-04-04,578611,9381,164,56,50,日语 感动 浪漫
3350,想开家茶馆，放首民谣给从前,2021-04-28,1057077,55232,7398,632,36,流行 民谣 华语
3351,日语｜承载青春记忆的樱花语,2021-03-17,112105,1091,14,12,103,日语 ACG 影视原声
3352,百灵鸟飞进他的喉间,2020-12-06,644816,15559,103,163,31,华语 流行 nan
3353,韩•乐队丨最盛大的浪漫，是终其一生的专注,2021-02-21,135490,1213,25,39,66,韩语 浪漫 治愈
3354,【绝望诗人风中叹息】,2021-04-20,1914988,59003,2031,273,54,夜晚 孤独 安静
3355,『日系』触动心灵的旋律,2021-02-02,189637,3022,71,79,179,日语 ACG 治愈
3356,邵邵的蒸汽波&大冒险,2021-04-05,329194,4190,574,34,161,浪漫 电子 流行
3357,轻音乐 |缓解压力上班必听歌曲,2021-04-27,1196172,53265,3308,460,38,轻音乐 伤感 感动
3358,深夜单曲循环【俄语热歌】,2021-02-07,812468,5452,103,27,92,欧美 夜晚 伤感
3359,「华语」同一首歌，不同演绎,2021-05-19,106367,367,7,9,49,华语 流行 翻唱
3360,深夜和清晨，都请用力去生活,2021-04-25,162286,525,22,17,27,华语 感动 流行
3361,BeatsbyMeecro |说唱伴奏合集,2021-04-07,140996,1112,222,4,900,说唱 nan nan
3362,2025年度热门金曲精选,2021-04-27,1139266,48791,5136,650,15,韩语 流行 nan
3363,觉醒年代『原声』,2021-03-08,256454,4301,83,66,52,影视原声 nan nan
3364,天涯客 | 山河不足重，重在遇知己,2021-03-23,440612,4162,35,54,58,华语 古风 影视原声
3365,东瀛 1980s 都市流行时光机丨City Pop,2021-01-26,1169597,28799,759,90,130,日语 流行 经典
3366,《恰好是少年》BGM合集,2021-03-28,151748,3405,35,72,241,流行 综艺 nan
3367,杂食//迷幻//蒸汽,2021-03-24,706127,15208,223,71,639,另类/独立 怀旧 浪漫
3368,『進撃的巨人』op+ed+ost已排序,2021-02-19,1462323,15295,139,59,38,日语 ACG nan
3369,【2021年四月新番音乐】OP/ED,2021-03-23,259638,3447,52,85,175,日语 影视原声 ACG
3370,曾涵江Cupppppp,2021-02-26,83973,766,28,49,55,华语 说唱 快乐
3371,|车载嗨曲 开车靠的是感觉，不是眼睛|,2021-03-16,6890544,30827,472,56,72,欧美 流行 New Age
3372,细腻的情感，温柔的轻语。,2021-05-04,133021,458,13,3,114,华语 治愈 夜晚
3373,【逛街，地铁，发呆】节奏流行极品女音,2021-03-30,143714,1392,26,18,813,欧美 流行 电子
3374,异国风情交织心灵悸动的流行节拍,2021-05-08,2513210,5527,75,30,46,流行 nan nan
3375,想把夏天的橘子汽水卖给颜料用完的梵高,2021-02-10,250982,2282,60,15,88,流行 华语 轻音乐
3376,拧巴的人需要一位耐心的恋人,2021-04-27,1164457,32518,465,304,30,轻音乐 夜晚 治愈
3377,Mehro:我的精选歌单,2021-05-23,293419,255,8,23,35,流行 nan nan
3378,前奏一响就会让人爱上的超燃BGM『珍藏版』,2021-04-27,1085056,57106,242,558,43,欧美 流行 电子
3379,[Free Beat]高质量伴奏/错过了就等着后悔吧,2021-04-19,150073,2281,16,7,89,说唱 华语 R&B/Soul
3380,2021青岛麦田音乐节,2021-05-18,287148,2113,427,115,58,流行 摇滚 说唱
3381,“一旦喜欢小众 你就注定孤独”,2021-04-22,2410820,32751,543,209,58,欧美 清新 浪漫
3382,甜梦收容所丨陷落慵懒声线的午后花园漫游,2021-03-03,466312,7009,199,41,92,欧美 下午茶 清新
3383,《恰好是少年》[日常＋车上]哼唱合集,2021-04-13,515435,4840,54,48,72,旅行 放松 综艺
3384,静影沉璧｜回眸经典 心火百年,2021-02-23,96539,943,20,12,54,欧美 怀旧 影视原声
3385,风停在窗边，嘱咐你要热爱这个世界,2021-04-22,96287,225,7,18,47,华语 流行 治愈
3386,时光代理人第二季OP&ED&插曲&同人曲,2021-04-24,445232,8991,53,157,312,华语 ACG nan
3387,"""情歌说唱"" 甜腻腻的rap",2021-05-07,179363,1433,27,16,224,华语 说唱 R&B/Soul
3388,TNT｜去告诉世界他们已经横空出世啦,2021-01-21,209234,4693,26,91,43,流行 华语 治愈
3389,本章DJ舞曲全场高能 |上班路上不孤单,2021-05-14,352886,1256,10,34,92,酒吧 驾车 电子
