,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
224,甜度超标的韩语蜜曲 | 恋爱具现式,2023-01-09,160104,1038,35,2,197,韩语 流行 浪漫
225,酒店/西餐厅/背景乐爵士乐纯音乐,2022-06-17,285724,3361,97,17,44,爵士 浪漫 放松
226,我去宇宙偷星星，把它放在梦里等你,2018-08-30,22258,40,1,1,143,华语 思念 浪漫
227,法式浪漫✨慵懒爵士乐⭐腐朽的资本主义小调,2020-09-08,85951,1044,16,4,23,爵士 浪漫 下午茶
228,不要做午夜心碎小狗.,2019-04-05,255896,2701,44,8,1161,浪漫 nan nan
229,欧美R&B｜随节奏游弋于温柔的绮梦,2022-02-27,677569,7288,293,16,441,R&B/Soul 浪漫 蓝调
230,对爱的执念从不是海,2021-03-15,118980,495,11,4,184,浪漫 孤独 思念
231,我爱你但是我要回家,2024-11-29,60991,187,3,1,49,说唱 R&B/Soul 浪漫
232,恋爱|甜到爆表的小众韩文歌曲,2024-05-08,44287,303,4,1,75,韩语 浪漫 流行
233,2025汪苏泷十万伏特2.0演唱会重庆10.19,2025-10-08,3358,80,5,1,38,流行 浪漫 快乐
234,我们会不会在首尔街头相遇,2025-08-13,28298,323,8,5,29,韩语 浪漫 nan
235,古风｜金戈铁马身披麒麟甲 我要追你到落霞,2023-03-07,1206861,8239,52,34,84,古风 华语 浪漫
236,微醺R&B | 沉浸于丝滑浪漫旋律,2023-10-18,381148,2425,67,6,40,浪漫 R&B/Soul nan
237,我的眼皮跳一下代表你在想我,2018-10-01,375688,1773,30,35,193,流行 网络歌曲 浪漫
238,恋爱小甜歌｜凯蒂猫之箭已瞄准泥,2024-09-18,420515,3676,68,8,167,浪漫 治愈 校园
239,【场景系列】咖啡厅｜浪漫放松的音乐,2022-06-08,181627,1332,20,6,78,欧美 浪漫 放松
240,小鹿乱撞！属于你的小甜歌,2023-04-03,3541707,17573,271,67,52,华语 浪漫 流行
241,喜欢温柔的人和温柔的歌,2019-03-16,34266,71,12,1,124,华语 夜晚 浪漫
242,复古浪漫丨夏日海岛大作战,2018-09-18,4252449,74689,2052,329,163,另类/独立 旅行 浪漫
243,心动Rap|甜蜜滋生浪漫氛围,2023-01-20,35051,305,9,1,143,流行 说唱 浪漫
244,【欧美】轻松欢快||英文小甜歌,2022-12-30,513881,5121,67,40,102,欧美 浪漫 快乐
245,海的另一邊是世界的盡頭,2021-03-02,206617,3489,73,47,243,夜晚 浪漫 孤独
246,甜歌合集 \ 听了就想谈恋爱♡,2021-10-26,541996,2728,73,3,67,流行 浪漫 夜晚
247,中文歌单｜甜味温柔｜万物宠爱,2021-01-27,21931,73,2,3,894,华语 浪漫 放松
248,浪漫R&B | 或甜或欲 浪漫撩耳的迷醉氛围,2024-01-20,577964,4309,87,17,177,欧美 R&B/Soul 浪漫
249,氛围歌单 | 蝴蝶泉边 绿野寻踪,2023-05-10,1151061,24422,446,85,89,清新 浪漫 放松
250,古风：十里红妆不负卿，一世芳华许终身,2022-07-15,2470178,11045,156,233,78,华语 古风 浪漫
251,无前奏R&B | 开口脆 没有前奏的歌就像强吻,2024-04-15,140383,1146,23,4,57,欧美 R&B/Soul 浪漫
252,国语R&B降噪｜沉于浪漫调节坏情绪,2023-12-25,221174,1463,19,1,46,R&B/Soul 浪漫 nan
253,好好生活 慢慢相遇,2019-01-31,8826351,42002,3450,272,373,流行 浪漫 华语
254,暧昧期爱听的情歌，每句歌词都在写你俩,2025-09-02,140839,1752,15,1,57,流行 浪漫 nan
255,封茗囧菌｜吟唱浪漫的软萌少女,2018-09-22,189326,3721,34,32,109,浪漫 伤感 网络歌曲
256,【微醺氛围】x张力 微醺暧昧做饭神曲,2024-03-16,99219,1840,63,8,55,酒吧 夜晚 浪漫
257,法式浪漫，偶遇巴黎薄而透明的蓝天,2017-01-21,1099180,15644,336,30,89,浪漫 清新 小语种
