,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
86,流行风向标 | 不容不听的动人旋律,2023-03-13,62687,3001,32,286,50,nan nan nan
87,甜蜜舞曲 | 用恋爱甜味剂套牢你的耳朵,2021-04-07,42187,390,13,4,50,nan nan nan
88,OST大赏 | 盘点那些你一定听过的OST,2022-08-15,165524,2194,22,19,39,nan nan nan
89,舒心轻音乐 | 嘈杂都市需要来点轻音乐放松身心,2018-07-17,3535431,45473,801,210,40,nan nan nan
90,二次元ACG | 一开口就被拉入动漫世界,2023-03-27,331639,12235,64,49,60,nan nan nan
91,经典回忆杀 |  声声入心，怀旧金曲大盘点,2023-01-17,84842,816,2,2,50,nan nan nan
92,经典曲目 | 回望爱的黄金年代,2022-12-26,249331,2100,21,10,50,nan nan nan
93,椅子乐团用温柔塞满日常的镜头,2023-05-10,44496,95,9,6,20,nan nan nan
94,通宵大作战 | 打工人必备加油打气歌单,2018-10-10,398280,10277,529,171,50,nan nan nan
95,快乐出发 | 旅行路上怎么少了音乐,2023-05-11,76319,288,8,4,40,nan nan nan
96,春日时光 | 感受花香的气息,2023-05-11,59532,134,1,7,40,nan nan nan
97,欧美节奏 | 体检踩点的快乐,2023-05-12,290651,780,20,7,40,nan nan nan
98,爱的箴言 | 婚礼音乐清单,2023-05-12,77961,346,6,1,38,nan nan nan
99,力量训练 | 铁肌锤炼必备音乐,2023-05-11,534107,905,14,7,17,nan nan nan
100,冬日恋歌 | 雪花飘落下的冬日旋律,2023-05-11,24532,62,6,1,40,nan nan nan
101,刷题专用 | 脑细胞工程背景音,2023-05-12,32209,297,2,4,34,nan nan nan
102,冬日放松 | 舒缓心灵,2023-05-11,62743,135,1,7,30,nan nan nan
103,旅行路上 | 假期放空进行时,2023-05-12,1294435,2098,24,22,30,nan nan nan
104,chill自驾 | 独享慵懒旅途时光,2023-05-12,95140,452,2,2,40,nan nan nan
105,电波甜蜜 | 沉浸温柔的音乐世界,2023-06-01,34768,129,2,5,39,nan nan nan
106,粤语情歌 | 爱意是双向奔赴,2023-05-12,900170,2378,20,5,29,nan nan nan
107,露营BGM | 轻松一刻,2023-05-11,45575,226,7,2,40,nan nan nan
108,消遣放松 | 安静的耳边旋律,2023-05-11,217703,414,5,11,41,nan nan nan
109,快乐起飞 | 邂逅一次完美的旅行,2023-05-11,98569,267,12,9,39,nan nan nan
110,快乐旅行指南 | 出行路上怎能缺少音乐,2023-05-11,468923,1164,43,6,40,nan nan nan
111,夜色香江 | 沉浸于香港夜晚的伤感旋律,2023-06-01,78545,233,3,1,39,nan nan nan
112,欧美情调 | 一起探索浪漫的私密空间,2023-06-01,48569,216,3,8,37,nan nan nan
113,伤感粤语 | 心事浓于夜色,2023-06-01,300392,722,9,3,40,nan nan nan
114,夜色如墨 | 沉浸伤感旋律,2023-06-01,39110,222,4,1,38,nan nan nan
115,恋爱音乐 | 用音乐表达恋爱的灵魂,2023-06-01,24423,130,1,1,38,nan nan nan
116,神秘恋曲 | 沉浸在梦幻氛围中,2023-06-01,34037,127,3,1,40,nan nan nan
117,日系伤感 | 浅听夜的私语,2023-06-01,111926,1176,4,9,35,nan nan nan
118,恋爱情调 | 用音乐传递爱情讯息,2023-06-01,46354,219,2,2,38,nan nan nan
119,伤感英文 | 在音乐里俯拾回忆,2023-06-01,329257,1407,19,8,30,nan nan nan
120,伤感韩语集 | 有那么一瞬间突然破防,2023-06-01,61946,378,3,5,36,nan nan nan
121,夜色沉寂 | 心里的悲伤叮咚作响,2023-06-01,49142,282,1,6,38,nan nan nan
122,深夜思绪 | 歌词里的回忆最伤人,2023-06-01,35943,158,4,1,38,nan nan nan
123,深夜寂寥 | 沉迷于思念的无眠中,2023-06-01,18243,152,3,1,39,nan nan nan
124,伤感流行 | 声音穿过夜色悲伤,2023-06-01,93018,349,10,2,39,nan nan nan
125,韩系氛围 | 把孤独放进歌里,2023-06-01,138759,579,4,4,36,nan nan nan
126,恋爱乐章 | 在浪漫氛围中开启恋爱旅程,2023-06-01,43925,230,4,1,35,nan nan nan
127,温柔思念 | 沉迷于亲密之中,2023-06-01,20118,83,1,1,40,nan nan nan
128,流年如梦 | 沉浸在思念的时光里,2023-06-01,644674,250,13,1,40,nan nan nan
129,缠绵依恋 | 在柔和氛围中,2023-06-01,31853,148,1,7,40,nan nan nan
130,爱的思绪 | 沉溺于幸福之中,2023-06-01,58286,331,2,5,40,nan nan nan
131,梦幻之恋 | 让我们一起飞向天空,2023-06-01,16188,183,1,2,40,nan nan nan
132,心有所属 | 思念中的柔软,2023-06-01,38895,216,1,1,40,nan nan nan
133,思念在线 | 思念缠绵的音符,2023-06-01,22737,76,2,10,40,nan nan nan
134,心有所系 | 思念中的归属感,2023-06-01,33032,110,6,12,40,nan nan nan
135,爱恋永恒 | 思念绵长的岁月,2023-06-01,532404,269,17,20,40,nan nan nan
136,流淌思念 | 追寻远方的回忆,2023-06-01,71522,174,8,8,40,nan nan nan
137,漫天星光 | 远方的你，如同漫天星光般璀璨,2023-06-02,161196,417,2,6,40,nan nan nan
138,远行思念 | 流淌着追忆的旋律,2023-06-01,6853,73,4,11,40,nan nan nan
139,远方传来思念 | 流淌着回忆的旋律,2023-06-01,315230,495,6,8,40,nan nan nan
140,夜色沉浸 | 温柔旋律，梦幻夜晚,2023-06-02,80341,377,6,8,40,nan nan nan
141,回忆旋律 | 思念远方的心情,2023-06-01,651995,700,26,29,40,nan nan nan
142,校园午后 | 放松身心，享受校园生活的悠然时光,2023-06-02,352252,1511,23,10,40,nan nan nan
143,唤醒好心情 | 清晨欢快音乐推荐,2023-06-02,230673,217,3,2,39,nan nan nan
144,校园狂欢 | 留下最热烈的时光,2023-06-02,55771,1457,6,4,40,nan nan nan
145,起床必备 | 清晨元气唤醒音乐,2023-06-02,440614,697,5,1,40,nan nan nan
146,漫游心海 | 在心海中漫游，思念着远方的你，感受着生命的美好,2023-06-02,202720,272,10,3,40,nan nan nan
147,逝水流年 | 远方的思念，如流水般悠长,2023-06-02,484144,691,12,17,40,nan nan nan
148,唤醒思念 | 远方回忆的呼唤,2023-06-01,385857,554,14,10,40,nan nan nan
149,无尽遐思 | 远方的思念，如同无尽的遐思，难以停歇,2023-06-02,352850,483,17,12,40,nan nan nan
150,远方思绪 | 流淌着追忆的泪水,2023-06-01,275124,514,11,10,40,nan nan nan
151,清晨旋律 | 听见清新活力的新一天,2023-06-02,357938,299,6,4,39,nan nan nan
